feature,importance
BASEMENTAREA_MEDI,0.0015759079
YEARS_BEGINEXPLUATATION_AVG,0.001549751
CC_RECENT_DPD_MAX,0.0015475244
CC_SK_DPD_MAX,0.0015363758
CC_AMT_BALANCE_MAX,0.0015352548
FLAG_DOCUMENT_14,0.0014723878
PC_DPD_OVER_90_RATIO,0.0014048815
REG_REGION_NOT_LIVE_REGION,0.0013536265
CC_DRAWINGS_TOTAL_CNT_SUM,0.0013442608
INCOME_BIN_medium,0.0013376096
FLOORSMIN_MODE,0.0013348592
CC_SK_DPD_MEAN,0.0012508453
FLAG_EMAIL,0.0012442853
CC_RECENT_MONTHS,0.0011125294
CC_RECENT_DPD_MEAN,0.0010480633
FLAG_DOCUMENT_5,0.001032714
LIVE_CITY_NOT_WORK_CITY,0.0009799135
PC_TREND_DPD_MEAN,0.0008225993
YEARS_BUILD_AVG_MISSING,0.0
FLOORSMIN_MEAN_CROSS,0.0
COMMONAREA_AVG_MISSING,0.0
COMMONAREA_MODE_MISSING,0.0
BUREAU_OVERDUE_COUNT,0.0
NONLIVINGAPARTMENTS_AVG_MISSING,0.0
CODE_GENDER_F,0.0
FLAG_DOCUMENT_16,0.0
PA_TOTAL_CREDIT_SUM,0.0
AGE_YOUNG,0.0
DOCUMENTS_LOW,0.0
PA_HAS_REJECTION,0.0
PA_APPROVAL_RATE,0.0
PC_DPD_OVER_60_RATIO,0.0
PA_REJECTION_RATE,0.0
IP_HAS_ANY_LATE,0.0
BUREAU_CREDIT_DAY_OVERDUE_MEAN,0.0
PA_CONTRACT_TYPE_3,0.0
INCOME_BIN_high,0.0
NONLIVINGAPARTMENTS_MEDI_MISSING,0.0
ELEVATORS_MODE,0.0
PA_PORTFOLIO_4,0.0
PC_HAS_ANY_DPD,0.0
PC_HAS_SEVERE_DPD,0.0
IP_HAS_SEVERE_LATE,0.0
NONLIVINGAPARTMENTS_MODE_MISSING,0.0
FONDKAPREMONT_MODE_MISSING,0.0
NAME_EDUCATION_TYPE_Incomplete higher,0.0
INCOME_BIN_very_high,0.0
BUREAU_BALANCE_STATUS_4_SUM,0.0
BUREAU_BALANCE_STATUS_3_SUM,0.0
LIVE_REGION_NOT_WORK_REGION,0.0
CC_ACTIVE_CREDIT_CARDS,0.0
REGISTRATION_RECENT,0.0
FLAG_DOCUMENT_15,0.0
AGE_OLD,0.0
FLOORSMIN_MODE_MISSING,0.0
CNT_CHILDREN,0.0
FLAG_DOCUMENT_9,0.0
FLAG_UNEMPLOYED,0.0
NAME_CONTRACT_TYPE_Cash loans,0.0
SOCIAL_HAS_DEFAULT,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0
FLOORSMIN_AVG_MISSING,0.0
FLOORSMIN_MEDI_MISSING,0.0
INCOME_BIN_very_low,0.0
LIVINGAPARTMENTS_MEDI_MISSING,0.0
YEARS_BUILD_MEDI_MISSING,0.0
FLAG_DOCUMENT_8,0.0
REGION_RATING_CLIENT,0.0
FLAG_NEW_EMPLOYEE,0.0
LIVINGAPARTMENTS_MODE_MISSING,0.0
